job_id,completed_date,crew,work_type,road_name,notes
JOB-4174,2026-08-25,Lighting & Street Furniture,Streetlight column repair,Horton Place,Completed.
JOB-4143,2026-09-01,Lighting & Street Furniture,Sign post repair,Gregorys Road,Closed.
JOB-4147,2026-08-26,Lighting & Street Furniture,Bus shelter repair,Rheinland Place,"Partial, returned next day."
JOB-4175,2026-08-29,Lighting & Street Furniture,Sign post repair,Maitland Crescent,Attended and closed.
JOB-4141,2026-09-07,Road Surface,Road resurfacing,Rheinland Place,Completed after second visit.
JOB-4125,2026-08-29,Drainage,Storm drain inspection,Barnes Place,Completed.
JOB-4157,2026-09-06,Drainage,Manhole cover replacement,Sri Saranankara Road,"Completed. Minor delay, traffic."
JOB-4106,2026-09-04,Road Surface,Pavement slab replacement,Darley Road,Completed after second visit.
JOB-4137,2026-09-07,Road Surface,Road resurfacing,Model Farm Road,Attended and closed.
JOB-4136,2026-08-26,Lighting & Street Furniture,Sign post repair,Baseline Road,Attended and closed.
JOB-4168,2026-08-30,Lighting & Street Furniture,Bench replacement,Bellanthara Road,"Completed. Minor delay, traffic."
JOB-4180,2026-08-24,Lighting & Street Furniture,Bus shelter repair,High Level Road,Closed.
JOB-4178,2026-08-25,Lighting & Street Furniture,Sign post repair,Bagatalle Road,Completed after second visit.
JOB-4150,2026-08-28,Drainage,Manhole cover replacement,Bagatalle Road,Completed - materials from depot.
JOB-4109,2026-08-29,Drainage,Drain clearing,Bellanthara Road,Closed.
JOB-4189,2026-09-04,Road Surface,Pavement slab replacement,Maradana Road,Completed after second visit.
JOB-4113,2026-08-27,Road Surface,Line marking,Sri Saranankara Road,Closed.
JOB-4133,2026-09-05,Drainage,Storm drain inspection,School Lane,Closed.
JOB-4132,2026-08-28,Drainage,Culvert repair,Rampart Road,Completed after second visit.
JOB-4144,2026-08-31,Lighting & Street Furniture,Streetlight bulb replacement,Attidiya Road,Completed - materials from depot.
JOB-4169,2026-08-31,Road Surface,Kerb repair,Templers Road,Attended and closed.
JOB-4131,2026-09-01,Lighting & Street Furniture,Streetlight column repair,Sri Saranankara Road,
JOB-4179,2026-09-07,Drainage,Manhole cover replacement,Kirula Road,Completed - materials from depot.
JOB-4140,2026-08-28,Road Surface,Kerb repair,Independence Avenue,Completed - materials from depot.
JOB-4188,2026-09-04,Drainage,Drain clearing,High Level Road,"Partial, returned next day."
JOB-4154,2026-09-06,Lighting & Street Furniture,Streetlight column repair,Kirula Road,Completed - materials from depot.
JOB-4120,2026-09-04,Lighting & Street Furniture,Streetlight column repair,Kollupitiya Road,Closed.
JOB-4135,2026-09-04,Road Surface,Road resurfacing,Charles Circus,Attended and closed.
JOB-4187,2026-08-30,Drainage,Drain clearing,Dickmans Road,"Partial, returned next day."
JOB-4176,2026-09-06,Lighting & Street Furniture,Sign post repair,Dickmans Road,Closed.
JOB-4118,2026-09-03,Drainage,Storm drain inspection,Katukurunduwatte Road,
JOB-4151,2026-09-02,Drainage,Culvert repair,Sri Saranankara Road,Completed after second visit.
JOB-4160,2026-09-07,Road Surface,Pavement slab replacement,Thimbirigasyaya Road,Completed.
JOB-4181,2026-09-02,Drainage,Drain clearing,Maitland Crescent,Completed - materials from depot.
JOB-4162,2026-09-03,Drainage,Storm drain inspection,Longden Place,Completed after second visit.
JOB-4107,2026-09-01,Road Surface,Pavement slab replacement,Duplication Road,Attended and closed.
JOB-4112,2026-08-31,Drainage,Culvert repair,Park Road,Attended and closed.
JOB-4186,2026-08-29,Road Surface,Pavement slab replacement,Bellanthara Road,Completed.
JOB-4159,2026-09-05,Drainage,Drain clearing,Lake Drive,Completed after second visit.
JOB-4121,2026-08-24,Lighting & Street Furniture,Sign post repair,Model Farm Road,"Partial, returned next day."
JOB-4128,2026-09-06,Lighting & Street Furniture,Bench replacement,Hill Street,Attended and closed.
JOB-4165,2026-08-29,Drainage,Culvert repair,Elvitigala Mawatha,Completed.
JOB-4115,2026-08-28,Road Surface,Pavement slab replacement,Hospital Road,"Partial, returned next day."
JOB-4117,2026-08-29,Road Surface,Kerb repair,Station Road,"Partial, returned next day."
JOB-4167,2026-09-06,Drainage,Gully cleaning,Reid Avenue,Completed - materials from depot.
JOB-4129,2026-08-30,Drainage,Culvert repair,Hill Street,Closed.
JOB-4126,2026-09-04,Drainage,Storm drain inspection,Bauddhaloka Mawatha,"Completed. Minor delay, traffic."
JOB-4163,2026-09-01,Lighting & Street Furniture,Bus shelter repair,Hill Street,Completed.
JOB-4103,2026-09-02,Road Surface,Pavement slab replacement,Anderson Road,Completed. Area made good.
JOB-4104,2026-08-30,Lighting & Street Furniture,Bench replacement,Fife Road,Completed. Second visit not required.
JOB-4114,2026-09-06,Road Surface,Pavement slab replacement,Rosmead Place,Completed - materials from depot.
JOB-4173,2026-08-29,Road Surface,Line marking,Sri Saranankara Road,Closed.
JOB-4105,2026-08-29,Road Surface,Pavement slab replacement,Bellanthara Road,"Completed. Minor delay, traffic."
JOB-4161,2026-09-01,Lighting & Street Furniture,Streetlight bulb replacement,Hospital Road,"Completed. Minor delay, traffic."
JOB-4123,2026-08-31,Drainage,Manhole cover replacement,Templers Road,Attended and closed.
JOB-4182,2026-08-26,Lighting & Street Furniture,Sign post repair,Longden Place,
JOB-4101,2026-09-03,Lighting & Street Furniture,Streetlight bulb replacement,Cotta Road,Attended and closed.
JOB-4116,2026-08-26,Road Surface,Kerb repair,Sri Saranankara Road,Completed - materials from depot.
JOB-4138,2026-09-04,Drainage,Gully cleaning,Charles Circus,Closed.
JOB-4145,2026-08-30,Road Surface,Kerb repair,Katukurunduwatte Road,Completed - materials from depot.
JOB-4148,2026-09-04,Road Surface,Pavement slab replacement,Templers Road,Completed.
JOB-4158,2026-09-01,Drainage,Storm drain inspection,Model Farm Road,Attended and closed.
JOB-4183,2026-08-26,Lighting & Street Furniture,Sign post repair,Kynsey Road,
JOB-4171,2026-09-01,Drainage,Manhole cover replacement,Horton Place,Attended and closed.
JOB-4122,2026-09-04,Drainage,Storm drain inspection,Alfred House Gardens,Attended and closed.
JOB-4146,2026-09-01,Lighting & Street Furniture,Bus shelter repair,Hill Street,"Partial, returned next day."
JOB-4119,2026-09-06,Road Surface,Pothole patching,Station Road,Completed after second visit.
JOB-4111,2026-09-06,Drainage,Manhole cover replacement,Sulaiman Terrace,"Completed. Minor delay, traffic."
JOB-4139,2026-08-31,Road Surface,Kerb repair,Independence Avenue,
JOB-4170,2026-09-04,Drainage,Gully cleaning,Galle Road,Completed after second visit.
JOB-4142,2026-08-27,Drainage,Manhole cover replacement,Templers Road,Completed.
