road_name,also_known_as,road_class,ward,asset_type,asset_id,nearest_facility,facility_distance_m
Station Road,,bus route,Bambalapitiya,bus shelter,MMC-BUS-3847,Vidyala College,120
Station Road,,bus route,Bambalapitiya,streetlight,MMC-STR-9270,Vidyala College,120
Station Road,,bus route,Bambalapitiya,drain,MMC-DRA-7712,Vidyala College,120
Station Road,,bus route,Bambalapitiya,footpath,MMC-FOO-6289,Vidyala College,120
Muhandiram Place,,residential,Bambalapitiya,bus shelter,MMC-BUS-9272,,
Muhandiram Place,,residential,Bambalapitiya,streetlight,MMC-STR-2431,,
Muhandiram Place,,residential,Bambalapitiya,drain,MMC-DRA-8164,,
Temple Lane,the road by the temple,residential,Havelock Town,streetlight,MMC-STR-9992,,
Temple Lane,the road by the temple,residential,Havelock Town,bus shelter,MMC-BUS-6204,,
Temple Lane,the road by the temple,residential,Havelock Town,drain,MMC-DRA-8474,,
Kadella Lane,,lane,Narahenpita,footpath,MMC-FOO-3599,,
Kadella Lane,,lane,Narahenpita,bus shelter,MMC-BUS-7891,,
Galle Road,,main road,Kollupitiya,footpath,MMC-FOO-5585,St Anthony's Girls School,210
Galle Road,,main road,Kollupitiya,streetlight,MMC-STR-1909,St Anthony's Girls School,210
Nawala Road,,bus route,Narahenpita,drain,MMC-DRA-1270,Narahenpita Model School,205
Nawala Road,,bus route,Narahenpita,bus shelter,MMC-BUS-6674,Narahenpita Model School,205
Nawala Road,,bus route,Narahenpita,streetlight,MMC-STR-2047,Narahenpita Model School,205
Nawala Road,,bus route,Narahenpita,footpath,MMC-FOO-4481,Narahenpita Model School,205
Kirula Road,,residential,Thimbirigasyaya,footpath,MMC-FOO-2791,,
Kirula Road,,residential,Thimbirigasyaya,streetlight,MMC-STR-6908,,
Kirula Road,,residential,Thimbirigasyaya,drain,MMC-DRA-5185,,
Kirula Road,,residential,Thimbirigasyaya,bus shelter,MMC-BUS-4664,,
Havelock Road,,main road,Havelock Town,footpath,MMC-FOO-6389,Havelock Town Maha Vidyalaya,180
Havelock Road,,main road,Havelock Town,bus shelter,MMC-BUS-6912,Havelock Town Maha Vidyalaya,180
Duplication Road,R A de Mel Mawatha,main road,Bambalapitiya,footpath,MMC-FOO-9888,,
Duplication Road,R A de Mel Mawatha,main road,Bambalapitiya,drain,MMC-DRA-2052,,
Baseline Road,,main road,Borella,streetlight,MMC-STR-9199,Ananda Balika Vidyalaya,160
Baseline Road,,main road,Borella,drain,MMC-DRA-3819,Ananda Balika Vidyalaya,160
Baseline Road,,main road,Borella,footpath,MMC-FOO-7687,Ananda Balika Vidyalaya,160
Dickmans Road,Lester James Peiris Mw,residential,Havelock Town,bus shelter,MMC-BUS-8804,,
Dickmans Road,Lester James Peiris Mw,residential,Havelock Town,footpath,MMC-FOO-8498,,
Torrington Avenue,,bus route,Thimbirigasyaya,bus shelter,MMC-BUS-3646,,
Torrington Avenue,,bus route,Thimbirigasyaya,streetlight,MMC-STR-9594,,
Torrington Avenue,,bus route,Thimbirigasyaya,footpath,MMC-FOO-6627,,
Bauddhaloka Mawatha,,main road,Thimbirigasyaya,streetlight,MMC-STR-8493,,
Bauddhaloka Mawatha,,main road,Thimbirigasyaya,bus shelter,MMC-BUS-6399,,
Bauddhaloka Mawatha,,main road,Thimbirigasyaya,footpath,MMC-FOO-1371,,
Thimbirigasyaya Road,the main road by the flyover,bus route,Thimbirigasyaya,bus shelter,MMC-BUS-1931,Isipathana Primary,200
Thimbirigasyaya Road,the main road by the flyover,bus route,Thimbirigasyaya,footpath,MMC-FOO-4284,Isipathana Primary,200
Elvitigala Mawatha,Baseline extension,main road,Narahenpita,streetlight,MMC-STR-9936,,
Elvitigala Mawatha,Baseline extension,main road,Narahenpita,drain,MMC-DRA-3176,,
Elvitigala Mawatha,Baseline extension,main road,Narahenpita,footpath,MMC-FOO-7488,,
Park Road,,residential,Havelock Town,streetlight,MMC-STR-4843,,
Park Road,,residential,Havelock Town,drain,MMC-DRA-6148,,
Jawatta Road,,residential,Thimbirigasyaya,bus shelter,MMC-BUS-5581,,
Jawatta Road,,residential,Thimbirigasyaya,drain,MMC-DRA-1564,,
Cotta Road,,bus route,Borella,drain,MMC-DRA-8253,Borella Central College,240
Cotta Road,,bus route,Borella,bus shelter,MMC-BUS-8665,Borella Central College,240
